Title (c_title),Identifier (c_identifier)
Southern Christian Leadership Conference records,Manuscript Collection No. 1083
AID Atlanta records,Manuscript Collection No. 1264
"Joseph Cumming papers, 1949-2008",Manuscript Collection No. 942
Sigma Pi Phi records,Manuscript Collection No. 1337
Jack Gilbert papers,Manuscript Collection No. 1375
Jake Adam York papers,Manuscript Collection No. 1376
Thomas H. Wirth collection,Manuscript Collection No. 1304
Atlanta Celebrates Photography records,Manuscript Collection No. 1449
Sam Nunn papers,Manuscript Collection No. 800
Michel Fabre archives of African American arts and letters,Manuscript Collection No. 932
Constance W. Curry papers,Manuscript Collection No. 818
Alli Royce Soble photographs,Manuscript Collection No. 1315
Geraldine Mills papers,Manuscript Collection No. 1467
Joan McBreen papers,Manuscript Collection No. 1088
Louis and Anna Geffen family papers,Manuscript Collection No. 651
Benny Andrews papers,Manuscript Collection No. 845
"Walter R, Branham, Jr. family papers",Manuscript Collection No. 103
Geneva H. Southall papers,Manuscript Collection No. 1004
James Cobb Burke papers,Manuscript Collection No. 1439
Thomas Kinsella papers,Manuscript Collection No. 774
John Griffin papers,Manuscript Collection No. 767
Professional Women Photographers records,Manuscript Collection No. 1374
Horace Mann and Julia W. Bond family papers,Manuscript Collection No. 1144
Natasha Trethewey papers,Manuscript Collection No. 1272
Rebecca Ranson papers,Manuscript Collection No. 1253
David Ignatow collection,Manuscript Collection No. 956
Elizabeth Dewberry papers,Manuscript Collection No. 666
Paul Carter Harrison,Manuscript Collection No. 1149
Alfred Uhry papers,Manuscript Collection No. 833
Salman Rushdie papers,Manuscript Collection No. 1000
James A. Porter papers,Manuscript Collection No. 1139
D.A. Powell papers,Manuscript Collection No. 1168
Peter Fallon - Gallery Press collection,Manuscript Collection No. 817
Valerie Boyd papers,Manuscript Collection No. 1421
Kali Archibald papers,Manuscript Collection No. 1448
Tracy K. Smith papers,Manuscript Collection No. 1468
Liam Rector papers,Manuscript Collection No. 1229
Lerone Bennett papers,Manuscript Collection No. 1240
Gylbert Coker papers,Manuscript Collection No. 1042
Chris and Laurie Mills papers,Manuscript Collection No. 1352
Jack Stewart papers,Manuscript Collection No. 1445
Mari Evans papers,Manuscript Collection No. 1284
Alice Walker papers,Manuscript Collection No. 1061
Nathaniel Mackey papers,Manuscript Collection No. 1297
Mildred Thompson papers,Manuscript Collection No. 1199
Matt Schaffer collection,Manuscript Collection No. 755
Jesse Peel papers,Manuscript Collection No. 1231
Lucille Clifton papers,Manuscript Collection No. 1054
Get This! Gallery records,Manuscript Collection No. 1324
"Eamon Grennan papers, 1943-2010",Manuscript Collection No. 1150
Atlanta Gay Men's Chorus records,Manuscript Collection No. 1251
Henry H. and Ella Pearson Mitchell papers,Manuscript Collection No. 1018
Roy C. and Araminta H. DeLamotte papers,Manuscript Collection No. 1244
Cheryll Y Greene papers,Manuscript Collection No. 1295
Dennis O'Driscoll,Manuscript Collection No. 1420
Donald Locke papers,Manuscript Collection No. 1440
Vincent Harding papers,Manuscript Collection No. 868
John Stone papers,Manuscript Collection No. 1182
Kevin Young papers,Manuscript Collection No. 1447
Joan Sandler papers,Manuscript Collection No. 1456
Samuel Beckett collection,Manuscript Collection No. 902
Robert Elfstrom photographs,Manuscript Collection No. 1358
Julian Plowden photographs,Manuscript Collection No. 1347
Carol Ann Duffy papers,Manuscript Collection No. 834
Undine Smith Moore papers,Manuscript Collection No. 1155
Mirabel Pictures WeSurvive oral history collection,Manuscript Collection No. 307
Tina McElroy Ansa papers,Manuscript Collection No. 1481
"Turner Cassity  papers, 1948-2009",Manuscript Collection No. 642
Rita Ann Higgins papers,Manuscript Collection No. 1194
Richard Blanco papers,Manuscript Collection No. 1431
Robert L. (Robb) Pitts papers,Manuscript Collection No. 1316
Village Writers' Group records,Manuscript Collection No. 657
Seamus Heaney collection,Manuscript Collection No. 653
Joanne Kilgour Dowdy papers,Manuscript Collection No. 1435
Jack Stewart Boozer papers,Manuscript Collection No. 685
Christopher Gilbert papers,Manuscript Collection No. 1346
Ed Bullins papers,Manuscript Collection No. 1131
Amalia K. Amaki papers,Manuscript Collection No. 1219
Teri Darnell photographs,Manuscript Collection No. 1450
James E. Hinton photographs and papers,Manuscript Collection No. 1330
Americana (Brazil) Oral History Project collection,Manuscript Collection No. 740
Pat Watters papers,Manuscript Collection No. 905
Ralph McGill papers,Manuscript Collection No. 252
Derrick Henry papers,Manuscript Collection No. 1260
"""Will the Circle Be Unbroken?"" program files and sound recordings ",Manuscript Collection No. 934
Len Prince papers,Manuscript Collection No. 1339
Bobby Jones collection and research files,Manuscript Collection No. 1250
Druid Hills Civic Association records,Manuscript Collection No. 65
"Southeastern Arts, Media & Education Project (Atlanta, Ga.) records",Manuscript Collection No. 1015
Elaine Brown papers,Manuscript Collection No. 912
Pressed Wafer records,Manuscript Collection No. 1124
Pearl Cleage papers,Manuscript Collection No. 1223
"Michael Lomax papers, [bulk 1965-2010]",Manuscript Collection No. 785
J. Herman Blake and Emily L. Moore papers,Manuscript Collection No. 1357
Council of Intown Neighborhoods and Schools records,Manuscript Collection No. 1396
Dianora Niccolini papers,Manuscript Collection No. 1309
Jack Nelson papers,Manuscript Collection No. 1237
Journal of the History of Philosophy records,Manuscript Collection No. 109
Andrew Feiler photographs,Manuscript Collection No. 1427
Bert and Mary Meyer Foundation records,Manuscript Collection No. 1140
Camille Billops and James V. Hatch archives at Emory University,Manuscript Collection No. 927
James Vernon Hatch papers,Manuscript Collection No. 1226
Veterans of Hope Project records,Manuscript Collection No. 1293
Inman Park Neighborhood Association records,Manuscript Collection No. 1485
Rosemary Magee research files on Flannery O'Connor,Manuscript Collection No. 1451
